pcut_position,psvol_position,label
-884489,12422,1
-884492,12428,1
-884495,12434,1
-884498,12439,1
-884501,12445,1
-884504,12451,1
-884507,12457,1
-884510,12464,1
-884513,12470,1
-884517,12476,1
-884520,12483,1
-884523,12490,1
-884526,12496,1
-884530,12503,1
-884533,12509,1
-884536,12516,1
-884540,12523,1
-884543,12530,1
-884547,12536,1
-884550,12543,1
-884554,12550,1
-884557,12557,1
-884561,12565,1
-884564,12572,1
-884568,12579,1
-884571,12586,1
-884575,12594,1
-884578,12601,1
-884582,12608,1
-884586,12616,1
-884589,12623,1
-884593,12631,1
-884597,12639,1
-884600,12646,1
-884604,12654,1
-884607,12662,1
-884611,12670,1
-884615,12677,1
-884618,12685,1
-884622,12693,1
-884625,12701,1
-884629,12709,1
-884632,12717,1
-884636,12725,1
-884639,12733,1
-884642,12741,1
-884646,12749,1
-884649,12757,1
-884652,12765,1
-884656,12773,1
-884659,12781,1
-884662,12789,1
-884665,12798,1
-884668,12806,1
-884671,12814,1
-884674,12822,1
-884677,12830,1
-884680,12838,1
-884683,12846,1
-884686,12854,1
-884689,12862,1
-884691,12871,1
-884694,12879,1
-884697,12887,1
-884699,12895,1
-884702,12903,1
-884704,12911,1
-884707,12919,1
-884709,12927,1
-884711,12935,1
-884713,12943,1
-884715,12952,1
-884717,12960,1
-884719,12968,1
-884721,12976,1
-884723,12984,1
-884725,12992,1
-884727,13000,1
-884729,13008,1
-884730,13016,1
-884732,13024,1
-884733,13033,1
-884735,13041,1
-884736,13049,1
-884737,13057,1
-884738,13065,1
-884740,13073,1
-884741,13081,1
-884742,13089,1
-884742,13097,1
-884743,13105,1
-884744,13114,1
-884745,13122,1
-884745,13130,1
-884746,13138,1
-884746,13146,1
-884747,13154,1
-884747,13162,1
-884747,13170,1
-884747,13178,1
-884747,13187,1
-884747,13195,1
-884747,13203,1
-884747,13211,1
-884747,13219,1
-884747,13227,1
-884746,13235,1
-884746,13243,1
-884744,13259,1
-884744,13268,1
-884743,13276,1
-884742,13284,1
-884741,13292,1
-884740,13300,1
-884738,13308,1
-884737,13316,1
-884736,13324,1
-884734,13332,1
-884733,13340,1
-884731,13349,1
-884729,13357,1
-884727,13365,1
-884725,13373,1
-884723,13381,1
-884721,13389,1
-884719,13397,1
-884717,13405,1
-884714,13414,1
-884712,13422,1
-884709,13430,1
-884707,13438,1
-884704,13446,1
-884701,13454,1
-884698,13462,1
-884695,13470,1
-884692,13478,1
-884689,13486,1
-884686,13495,1
-884682,13503,1
-884679,13511,1
-884675,13519,1
-884671,13527,1
-884668,13535,1
-884664,13543,1
-884660,13551,1
-884656,13559,1
-884651,13567,1
-884647,13575,1
-884643,13584,1
-884638,13592,1
-884634,13600,1
-884629,13608,1
-884624,13616,1
-884620,13624,1
-884615,13632,1
-884610,13640,1
-884604,13648,1
-884599,13656,1
-884594,13665,1
-884588,13673,1
-884583,13681,1
-884577,13689,1
-884572,13697,1
-884566,13705,1
-884560,13713,1
-884554,13721,1
-884548,13730,1
-884542,13738,1
-884535,13746,1
-884529,13754,1
-884522,13762,1
-884516,13770,1
-884509,13778,1
-884502,13786,1
-884496,13794,1
-884489,13802,1
-884482,13811,1
-884474,13819,1
-884467,13827,1
-884460,13835,1
-884452,13843,1
-884445,13851,1
-884437,13859,1
-884430,13867,1
-884422,13875,1
-884414,13884,1
-884406,13892,1
-884398,13900,1
-884390,13908,1
-884381,13916,1
-884373,13924,1
-884365,13932,1
-884356,13940,1
-884347,13948,1
-884339,13956,1
-884330,13965,1
